id	label	task_4_preds	NOT-NONE-NONE_probs	HOF-HATE-TIN_probs	HOF-HATE-UNT_probs	HOF-OFFN-TIN_probs	HOF-OFFN-UNT_probs	HOF-PRFN-TIN_probs	HOF-PRFN-UNT_probs
0	NOT-NONE-NONE	NOT-NONE-NONE	0.9862801	0.0042979876	0.00033517866	0.0038723468	0.00031882324	0.0044993623	0.00039632904
1	NOT-NONE-NONE	NOT-NONE-NONE	0.9881503	0.0032515984	0.00046062132	0.0028871675	0.00042984897	0.0042302967	0.00059042184
2	NOT-NONE-NONE	NOT-NONE-NONE	0.989271	0.003443455	0.00035471778	0.0028404212	0.0003197934	0.0033542505	0.00041606743
3	NOT-NONE-NONE	NOT-NONE-NONE	0.98904455	0.0036625268	0.00033241173	0.0029862868	0.00029589626	0.003292347	0.0003858451
4	NOT-NONE-NONE	NOT-NONE-NONE	0.9894757	0.003208562	0.00041282052	0.0026318626	0.0003699402	0.003411081	0.00049009814
5	NOT-NONE-NONE	NOT-NONE-NONE	0.9888262	0.003651365	0.0003260619	0.0030374057	0.00029627013	0.0034759874	0.00038649293
6	NOT-NONE-NONE	NOT-NONE-NONE	0.9828871	0.006281254	0.00025591036	0.0058709397	0.0002510396	0.0041614505	0.0002924024
7	NOT-NONE-NONE	NOT-NONE-NONE	0.98937285	0.003337882	0.00037780113	0.0027421238	0.0003387747	0.0033810579	0.00044968422
8	NOT-NONE-NONE	NOT-NONE-NONE	0.98924786	0.0034860596	0.00033574653	0.002887812	0.0003052963	0.0033372678	0.00039985235
9	NOT-NONE-NONE	NOT-NONE-NONE	0.98906153	0.0036122117	0.00032830756	0.0029755766	0.00029535833	0.0033430015	0.00038372647
10	NOT-NONE-NONE	NOT-NONE-NONE	0.9893705	0.003364517	0.00035313104	0.0027686586	0.00032020846	0.0034006773	0.00042238281
11	NOT-NONE-NONE	NOT-NONE-NONE	0.98876685	0.0037636645	0.0003164118	0.0031302047	0.0002876065	0.003365767	0.00036942758
12	NOT-NONE-NONE	NOT-NONE-NONE	0.988123	0.004094781	0.00027435023	0.003500847	0.00025635885	0.003429754	0.00032109895
13	NOT-NONE-NONE	NOT-NONE-NONE	0.9873063	0.004476533	0.0002695536	0.0038999703	0.00024593016	0.0034959693	0.0003059054
14	NOT-NONE-NONE	NOT-NONE-NONE	0.98946154	0.0031553374	0.00040509924	0.0026294906	0.0003693888	0.0034972148	0.00048194316
15	NOT-NONE-NONE	NOT-NONE-NONE	0.98463726	0.005660854	0.00025749084	0.0050679026	0.00024109756	0.003847984	0.00028736578
16	NOT-NONE-NONE	NOT-NONE-NONE	0.97490484	0.009765071	0.00027206415	0.009410602	0.00026666306	0.0050861663	0.00029452602
17	NOT-NONE-NONE	NOT-NONE-NONE	0.98870504	0.0037642892	0.0003048939	0.0031782188	0.00027794205	0.0034140327	0.000355653
18	NOT-NONE-NONE	NOT-NONE-NONE	0.9887522	0.0038009363	0.00029548258	0.0031838235	0.0002724931	0.0033563096	0.00033852312
19	NOT-NONE-NONE	NOT-NONE-NONE	0.98933935	0.003128189	0.00042532047	0.0026508293	0.00038826378	0.0035606977	0.0005075496
20	NOT-NONE-NONE	NOT-NONE-NONE	0.98948276	0.0031923656	0.00041236685	0.002637062	0.00037423114	0.0034082665	0.0004927251
21	NOT-NONE-NONE	NOT-NONE-NONE	0.9667163	0.011977721	0.00027926549	0.013821863	0.00028456908	0.006650001	0.00027021533
22	NOT-NONE-NONE	NOT-NONE-NONE	0.98197126	0.006344501	0.0002912127	0.006068558	0.0002731295	0.0047441097	0.0003072981
23	NOT-NONE-NONE	NOT-NONE-NONE	0.9872093	0.004443194	0.00027884872	0.003919564	0.00026238066	0.0035596604	0.0003272688
24	NOT-NONE-NONE	NOT-NONE-NONE	0.98694247	0.00454934	0.0002799684	0.0040184422	0.00026448394	0.0036161065	0.00032890297
25	NOT-NONE-NONE	NOT-NONE-NONE	0.9893927	0.0031887311	0.00039298873	0.002671029	0.00035995996	0.0035239665	0.00047072128
26	NOT-NONE-NONE	NOT-NONE-NONE	0.98871636	0.0035913722	0.00033085002	0.0030508747	0.00030052586	0.003616617	0.00039329822
27	NOT-NONE-NONE	NOT-NONE-NONE	0.9892785	0.0032138831	0.0004202505	0.0027132416	0.00037675985	0.0034968378	0.00050027686
28	NOT-NONE-NONE	NOT-NONE-NONE	0.9892856	0.0033869203	0.0003622758	0.0027779378	0.00032663892	0.003430392	0.00043026937
29	NOT-NONE-NONE	NOT-NONE-NONE	0.98912615	0.0034309449	0.0003484838	0.002878709	0.0003178751	0.0034856058	0.0004120663
30	NOT-NONE-NONE	NOT-NONE-NONE	0.98849154	0.0031528904	0.00046510724	0.00280594	0.00042567024	0.0040770937	0.0005818017
31	NOT-NONE-NONE	NOT-NONE-NONE	0.9892285	0.0033542393	0.00036067367	0.0028244948	0.00032777572	0.003464198	0.00043989634
32	NOT-NONE-NONE	NOT-NONE-NONE	0.98940444	0.0034031284	0.00034798664	0.0027903214	0.00031607706	0.003328687	0.0004091937
33	NOT-NONE-NONE	NOT-NONE-NONE	0.9892134	0.0031483623	0.0004144232	0.0026677144	0.0003795736	0.0036696277	0.0005068618
34	NOT-NONE-NONE	NOT-NONE-NONE	0.98945403	0.0033177135	0.0003482255	0.002773168	0.00031980532	0.0033713148	0.00041572138
35	NOT-NONE-NONE	NOT-NONE-NONE	0.9888871	0.0036156513	0.0003089295	0.0031193618	0.0002745774	0.0034377147	0.0003566344
36	NOT-NONE-NONE	NOT-NONE-NONE	0.98939836	0.0032032698	0.00041120755	0.0026544987	0.00037337933	0.0034720218	0.00048743494
37	NOT-NONE-NONE	NOT-NONE-NONE	0.989362	0.0032189474	0.00038031896	0.0027659903	0.00034502678	0.003478478	0.0004493044
38	HOF-OFFN-TIN	HOF-OFFN-TIN	0.017613204	0.17831433	0.016423969	0.5795016	0.024174897	0.16766244	0.016309543
39	NOT-NONE-NONE	NOT-NONE-NONE	0.98939645	0.0031755648	0.00038887895	0.0026613881	0.00036362035	0.003538729	0.0004755048
40	NOT-NONE-NONE	NOT-NONE-NONE	0.9893479	0.0031905912	0.0003843557	0.0027428365	0.0003517996	0.0035185749	0.0004640399
41	NOT-NONE-NONE	NOT-NONE-NONE	0.9892337	0.0033363416	0.00036030376	0.0028727755	0.00032559145	0.0034436046	0.000427775
42	NOT-NONE-NONE	NOT-NONE-NONE	0.9884133	0.003224055	0.00044286874	0.0028476876	0.0004080616	0.0041054045	0.00055845664
43	NOT-NONE-NONE	NOT-NONE-NONE	0.9892101	0.003181517	0.00041279139	0.0026914275	0.00037657307	0.0036246069	0.0005030985
44	NOT-NONE-NONE	NOT-NONE-NONE	0.9891002	0.0031855623	0.00041193055	0.00272575	0.00038033165	0.0036955478	0.0005004589
45	NOT-NONE-NONE	NOT-NONE-NONE	0.9895229	0.0032990794	0.00036649045	0.0027133527	0.00033337082	0.0033331597	0.00043144432
46	NOT-NONE-NONE	NOT-NONE-NONE	0.98935825	0.0032459998	0.00041800592	0.0026412313	0.00037520798	0.0034606482	0.0005007453
47	NOT-NONE-NONE	NOT-NONE-NONE	0.9864682	0.004857326	0.0002696824	0.004094505	0.00024950324	0.0037574118	0.0003032922
48	NOT-NONE-NONE	NOT-NONE-NONE	0.9892917	0.0031818186	0.00038847787	0.002706353	0.00035703342	0.0036045155	0.00047010733
49	NOT-NONE-NONE	NOT-NONE-NONE	0.9884458	0.003913211	0.0002972828	0.0033144783	0.0002792399	0.00339998	0.00035024065
50	NOT-NONE-NONE	NOT-NONE-NONE	0.9884397	0.0035595484	0.0003531302	0.0030913714	0.00032120338	0.0038198251	0.00041537045
51	NOT-NONE-NONE	NOT-NONE-NONE	0.98916674	0.0034895272	0.00033666418	0.0028766028	0.00030946825	0.0034270156	0.00039393996
52	NOT-NONE-NONE	NOT-NONE-NONE	0.9894436	0.0033243077	0.00038660702	0.0026796067	0.0003471788	0.003361135	0.00045770867
53	NOT-NONE-NONE	NOT-NONE-NONE	0.98822147	0.0040006023	0.0002926867	0.0033835545	0.00027348867	0.0034819546	0.000346215
54	NOT-NONE-NONE	NOT-NONE-NONE	0.98936576	0.0033673497	0.00035369257	0.0027576003	0.00032373186	0.0034126558	0.00041899312
55	NOT-NONE-NONE	NOT-NONE-NONE	0.9893337	0.0033578032	0.0003630386	0.0027779816	0.00033223297	0.0033982198	0.00043697553
56	NOT-NONE-NONE	NOT-NONE-NONE	0.98930633	0.0031164954	0.00041159324	0.0026440842	0.00038039623	0.0036352952	0.0005056999
57	NOT-NONE-NONE	NOT-NONE-NONE	0.9878907	0.0042115944	0.00027598298	0.0036144913	0.0002545808	0.0034291882	0.0003235038
58	NOT-NONE-NONE	NOT-NONE-NONE	0.98911625	0.003152528	0.00040790986	0.0027126789	0.0003761592	0.0037348974	0.000499876
59	NOT-NONE-NONE	NOT-NONE-NONE	0.988921	0.0036918228	0.0003022801	0.0031021214	0.00027912384	0.003350542	0.0003530812
60	NOT-NONE-NONE	NOT-NONE-NONE	0.98945403	0.0031709755	0.00042793923	0.0026010603	0.0003853801	0.0034520205	0.000508443
61	NOT-NONE-NONE	NOT-NONE-NONE	0.98933935	0.0033894777	0.0003738051	0.0027613845	0.00033446212	0.0033696627	0.00043175716
62	NOT-NONE-NONE	NOT-NONE-NONE	0.98931295	0.0033032524	0.00039173278	0.0027009707	0.00035417388	0.0034623698	0.000474532
63	NOT-NONE-NONE	NOT-NONE-NONE	0.98927283	0.0031050825	0.0004133567	0.0026923812	0.00038031064	0.003630462	0.0005053171
64	NOT-NONE-NONE	NOT-NONE-NONE	0.9894304	0.003176893	0.0003853959	0.0027157487	0.0003538923	0.003480122	0.00045762555
